Organization Name,Internship Types,Field/Discipline,Details,Notes,Link,Textfile
TN Chapter of Alzheimer's Association,Type A,Field A,View page,Note 1,organizations/org1.html?org=Organization_1,Organization_1.txt
"Breast Connect, Inc",Type B,Field B,View page,Note 2,organizations/org1.html?org=Organization_2,Organization_2.txt
Boy Scouts of America- Great Smoky Mountain Council,Type B,Field B,View page,Note 3,organizations/org1.html?org=Organization_3,Organization_3.txt
Organization 4,Type B,Field B,View page,Note 4,organizations/org1.html?org=Organization_4,Organization_4.txt
Organization 5,Type B,Field B,View page,Note 5,organizations/org1.html?org=Organization_5,Organization_5.txt
Organization 6,Type B,Field B,View page,Note 6,organizations/org1.html?org=Organization_6,Organization_6.txt
Organization 7,Type B,Field B,View page,Note 7,organizations/org1.html?org=Organization_7,Organization_7.txt
Organization 8,Type B,Field B,View page,Note 8,organizations/org1.html?org=Organization_8,Organization_8.txt
Organization 9,Type B,Field B,View page,Note 9,organizations/org1.html?org=Organization_9,Organization_9.txt
Organization 10,Type B,Field B,View page,Note 10,organizations/org1.html?org=Organization_10,Organization_10.txt
Organization 11,Type B,Field B,View page,Note 11,organizations/org1.html?org=Organization_11,Organization_11.txt
Organization 12,Type B,Field B,View page,Note 12,organizations/org1.html?org=Organization_12,Organization_12.txt
Organization 13,Type B,Field B,View page,Note 13,organizations/org1.html?org=Organization_13,Organization_13.txt
Organization 14,Type B,Field B,View page,Note 14,organizations/org1.html?org=Organization_14,Organization_14.txt
Organization 15,Type B,Field B,View page,Note 15,organizations/org1.html?org=Organization_15,Organization_15.txt
Organization 16,Type B,Field B,View page,Note 16,organizations/org1.html?org=Organization_16,Organization_16.txt
Organization 17,Type B,Field B,View page,Note 17,organizations/org1.html?org=Organization_17,Organization_17.txt
Organization 18,Type T,Field T,View page,Note 18,organizations/org1.html?org=Organization_18,Organization_18.txt
Organization 19,Type B,Field B,View page,Note 19,organizations/org1.html?org=Organization_19,Organization_19.txt
Organization 20,Type T,Field B,View page,Note 20,organizations/org1.html?org=Organization_20,Organization_20.txt
Organization 21,Type B,Field T,View page,Note 21,organizations/org1.html?org=Organization_21,Organization_21.txt
Organization 22,Type T,Field B,View page,Note 22,organizations/org1.html?org=Organization_22,Organization_22.txt
Organization 23,Type B,Field B,View page,Note 23,organizations/org1.html?org=Organization_23,Organization_23.txt
Organization 24,Type T,Field T,View page,Note 24,organizations/org1.html?org=Organization_24,Organization_24.txt
Organization 25,Type C,Field T,View page,Note 25,organizations/org1.html?org=Organization_25,Organization_25.txt
